#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0               1         14.9506         1.24714
               2     0.000123405         1.00001         14.9489         1.39596
               3     0.000246822         1.00001         15.4853         1.56665
               4     0.000365413         1.00001         16.0294         1.73964
               5     0.000479584         1.00002         16.5745          1.9217
               6     0.000589455         1.00002         17.1214         2.09346
               7     0.000695332         1.00002         17.6677         2.27337
               8     0.000797576         1.00003         18.2171         2.45578
               9     0.000896418         1.00003          18.769         2.63328
              10     0.000992103         1.00003         19.3234         2.81934
