#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0               1         14.9547         1.89859
               2     0.000123369         1.00001         14.9531         2.46538
               3     0.000246749         1.00001         15.4898         3.07872
               4      0.00036531         1.00001         16.0339         3.69106
               5     0.000479454         1.00002         16.5792         4.29966
               6     0.000589301         1.00002         17.1262         4.91649
               7     0.000695155         1.00002         17.6727         5.55268
               8     0.000797376         1.00003         18.2224         6.18105
               9     0.000896196         1.00003         18.7744         6.81163
              10     0.000991859         1.00003          19.329         7.43984
