#       Timestep            Time            Vrms        CPU_Time     MaxVelocity         MaxTemp
               1               0         1.45642           2.555         4.63811               1
               2      0.00898354         1.45631         3.80833         4.63491         1.11115
               3       0.0179733         1.49608         5.21104         4.93396         1.05552
               4       0.0264182         1.51296          6.6065         4.88907        0.945068
               5       0.0349406         1.52372         8.00545         4.86838        0.952953
               6       0.0434992         1.52781         9.41741          5.0356        0.963407
               7       0.0517736          1.5278         10.8422         5.02344         0.88383
               8       0.0600681         1.52325         12.2447         4.86112        0.841118
               9       0.0686395         1.51322         13.6552         4.87402        0.885497
              10       0.0771882         1.50017         15.0501         4.90846        0.853941
