#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0         1.00167         31.6054        0.991347
               2     4.53864e-05          1.0025          31.595         1.16601
               3     9.07883e-05         1.00415          40.544         1.39455
               4     0.000124192         1.00628         51.0292         1.62598
               5     0.000149711         1.00878         61.2363         1.86366
               6      0.00017045         1.01177         70.9947         2.10424
               7     0.000188016         1.01528         80.4467         2.34025
               8       0.0002033         1.01937         89.6825         2.57876
               9     0.000216863         1.02409          98.751         2.81534
              10     0.000229079         1.02951         107.689         3.05278
