#       Timestep            Time            Vrms        CPU_Time
               1               0         0.32173         67.5812
               2       0.0304119        0.331032         97.0304
               3       0.0610431        0.341185         128.227
               4       0.0919047         0.34845         149.826
               5        0.122939        0.351161         166.434
               6        0.153982        0.350467          182.14
               7         0.18504        0.348877         197.325
               8         0.21619        0.350426         211.622
               9        0.247285        0.351578         224.753
              10        0.278356        0.352979         237.982
