#       Timestep            Time            Vrms        CPU_Time         Nusselt
               1               0         1.00003         34.5804        0.411304
               2     4.17779e-05         1.00003          34.574        0.582092
               3     8.35654e-05         1.00004         35.8047        0.818409
               4     0.000123703         1.00004         37.0669         1.05412
               5      0.00016231         1.00005         38.3475         1.29147
               6     0.000199431         1.00005         39.6474         1.52879
               7     0.000235127         1.00006         40.9658         1.76437
               8      0.00026951         1.00006         42.3027         2.00101
               9     0.000302686         1.00007         43.6598          2.2371
              10     0.000334646         1.00007         45.0391          2.4729
