#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0               1       0.0330679         1.37557
               2     0.000976562         1.01567       0.0330664         1.47271
               3      0.00195312         1.02744       0.0327627         1.56766
               4      0.00292969         1.03714       0.0324459         1.68119
               5      0.00390625         1.04562        0.032123         1.78518
               6      0.00488281         1.05323       0.0317895         1.88965
               7      0.00585938         1.06019       0.0314613         2.00259
               8      0.00683594         1.06664       0.0311332         2.09473
               9       0.0078125         1.07267       0.0308051         2.19845
              10      0.00878906         1.07835       0.0304777          2.3155
