#       Timestep            Time            Vrms        CPU_Time         Nusselt
               1               0         1.00063         98.7882         1.19413
               2     1.74863e-05         1.00069          98.783         1.60257
               3     3.49743e-05         1.00076         102.192         2.01495
               4     5.18042e-05         1.00083         105.649         2.42945
               5     6.80253e-05          1.0009          109.12         2.84255
               6     8.36853e-05         1.00097         112.605          3.2578
               7     9.88081e-05         1.00103         116.108         3.66865
               8     0.000113416          1.0011         119.629         4.09942
               9     0.000127545         1.00116         123.165         4.51633
              10     0.000141231         1.00122          126.72         4.91406
