#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0         1.00136         51.0016         8.29298
               2     4.12689e-05         1.00175         51.3459          9.5407
               3     8.23031e-05         1.00219         54.7927         10.8007
               4     0.000120671         1.00263         59.2631         12.1941
               5     0.000156085         1.00305         63.7289           14.03
               6     0.000188968         1.00347         68.3518         15.7458
               7     0.000219589         1.00387         72.7676         17.0693
               8     0.000248301         1.00428         78.1078         18.0742
               9     0.000275024         1.00466         82.9207         19.0003
              10     0.000300165         1.00505         88.2226         19.8941
