#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0               0         181.809         4.77278
               2     6.10352e-07               0         181.809         7.32391
               3      1.2207e-06               0         181.562         10.0304
               4     1.83105e-06               0         181.319         12.7183
               5     2.44141e-06               0         181.081         15.2776
               6     3.05176e-06               0         180.846         17.8308
               7     3.66211e-06               0         180.615         20.3824
               8     4.27246e-06               0         180.388         22.9402
               9     4.88281e-06               0         180.165         25.4962
              10     5.49316e-06               0         179.945         28.0551
