#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0         1.00008         3.25351         4.14451
               2     0.000244141          1.0002         3.27275         4.52042
               3     0.000488281         1.00032         3.32178         4.94739
               4     0.000732422         1.00044         3.38025         5.39284
               5     0.000976562         1.00056         3.44332         5.82478
               6       0.0012207         1.00068         3.50912         6.27976
               7      0.00146484         1.00079         3.57723         6.71384
               8      0.00170898         1.00091         3.64755         7.14607
               9      0.00195312         1.00103         3.72012         7.61606
              10      0.00219727         1.00115         3.79505         8.04607
