#       Timestep            Time            Vrms        CPU_Time
               1               0      0.00989663         1.71293
               2        0.889396      0.00994521         2.42333
               3         1.77478       0.0099291         3.13073
               4          2.6619      0.00992493          3.8391
               5         3.54889      0.00990801         4.54588
               6         4.43796      0.00994045         5.25624
               7         5.32381      0.00991657         5.95947
               8         6.21222      0.00992439         6.67054
               9         7.09936      0.00993046         7.31144
              10         7.98644      0.00992332         8.02543
