#       Timestep            Time            Vrms        CPU_Time
               1               0     0.000184785         4.78562
               2         17.0475        0.000221         7.48588
               3         31.3202     0.000256014         10.4892
               4         43.6533     0.000291793         13.2991
               5         54.4516     0.000327392         16.4205
               6         64.0557     0.000365399         19.5155
               7         72.6598     0.000404527         22.2969
               8         80.4018      0.00044313          25.059
               9         87.4497     0.000485157         27.9056
              10         93.8795     0.000527447         30.6434
