#       Timestep            Time         Nusselt            Vrms        CPU_Time
               1               0         11.8911         383.583         2.66151
               2     7.91148e-06         11.8705         383.095         4.04886
               3     1.58292e-05         11.8565         383.087         5.43672
               4     2.37505e-05         11.8426         382.899         6.87222
               5     3.16762e-05           11.83         382.893         8.23469
               6     3.96054e-05         11.8185         382.825         9.58522
               7     4.75429e-05          11.808         382.712         11.0399
               8     5.54885e-05         11.7981         382.506         12.4936
               9     6.34416e-05         11.7891         382.336         13.9223
              10     7.14036e-05         11.7802         381.763         15.3199
